model,variant,target,r2,mae,rmse
RGB_X/absolute30/all,mean_baseline,player3.velocity.z,-0.0005185456141734157,87.6699107485796,182.68286366937105
RGB_X/absolute30/position,main,ball.location.x,0.2288541661418575,1597.7033782201001,2020.0509910348264
RGB_X/absolute30/position,main,ball.location.y,0.3397716971443926,1771.236119802439,2208.334410666795
RGB_X/absolute30/position,main,ball.location.z,0.18009897100694827,323.1725341890921,424.1766500413986
RGB_X/absolute30/position,main,player0.location.x,0.10938979326832876,1637.7982902304177,2014.118140596219
RGB_X/absolute30/position,main,player0.location.y,0.07350908188266547,2124.0722753246873,2528.9956545566374
RGB_X/absolute30/position,main,player0.location.z,-0.031906762928441745,94.7496667255446,165.12032414975315
RGB_X/absolute30/position,main,player1.location.x,0.07667174682188027,1623.2108654461713,2003.991408851625
RGB_X/absolute30/position,main,player1.location.y,0.10682493508927238,2018.8081598761687,2444.730258745748
RGB_X/absolute30/position,main,player1.location.z,-0.033476257744975424,99.6683000810303,141.35678660138524
RGB_X/absolute30/position,main,player2.location.x,0.025332930488974226,1702.192598334614,2101.042251577364
RGB_X/absolute30/position,main,player2.location.y,0.09786870701213346,2299.4375998502496,2776.583961026346
RGB_X/absolute30/position,main,player2.location.z,-0.008944841797474679,98.9895865760315,168.16079815748174
RGB_X/absolute30/position,main,player3.location.x,0.11481510419029628,1615.8315181729108,2003.283791182146
RGB_X/absolute30/position,main,player3.location.y,0.08185023585925766,2222.5436346854394,2674.7993496512845
RGB_X/absolute30/position,main,player3.location.z,-0.0032736750415653937,91.83499272994692,174.04522308428142
RGB_X/absolute30/position,shuffled,ball.location.x,-0.022173191628720224,1953.6273328605216,2325.7140537401433
RGB_X/absolute30/position,shuffled,ball.location.y,-0.04259085096767046,2337.1497108552985,2775.0750039533573
RGB_X/absolute30/position,shuffled,ball.location.z,-0.006480002272807317,373.67990455974683,469.9683564622535
RGB_X/absolute30/position,shuffled,player0.location.x,0.004862781907913116,1787.6261840617751,2129.0339734019335
RGB_X/absolute30/position,shuffled,player0.location.y,-0.028113700241768624,2307.974974095515,2664.0849742312726
RGB_X/absolute30/position,shuffled,player0.location.z,-0.0017349418242784687,91.14692083911818,162.68844740351395
RGB_X/absolute30/position,shuffled,player1.location.x,-0.028487012223842312,1736.725071091799,2115.0332481002074
RGB_X/absolute30/position,shuffled,player1.location.y,-0.044910242935649825,2246.0661065028103,2644.247765309245
RGB_X/absolute30/position,shuffled,player1.location.z,-0.058180729437378176,102.66603328161177,143.03632263397606
RGB_X/absolute30/position,shuffled,player2.location.x,-0.022735049641057214,1771.8327422787918,2152.2276641048265
RGB_X/absolute30/position,shuffled,player2.location.y,-0.0056401060087984956,2473.861444064571,2931.549483317209
RGB_X/absolute30/position,shuffled,player2.location.z,0.00010114449460341124,96.56577719087917,167.40525373703784
