record_id,path,requested_dose,effective_dose,actual_internal_height_probe_delta,linear_probe_delivery_fraction,relative_descriptor_mismatch,actual_to_requested_raw_norm,descriptor_delta_cosine
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_random_norm_dose+600,random_norm,600.0,600.0000000000001,3.1793160229166233,,0.015791789237910112,1.0063113732376927,0.999875662858389
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_random_norm_dose-300,random_norm,-300.0,-300.0,-1.7497294644050498,,0.023712858888218124,1.0150091008040358,0.9997222002256985
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_random_norm_dose-600,random_norm,-600.0,-506.3026898945899,-3.6898382066963222,,0.014093251841028241,1.004241959682528,0.999901757403942
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_wrong_variable_ball_x_dose+300,wrong_variable_ball_x,300.0,300.0,13.763037168628557,,0.029306667832131223,1.0206567535132327,0.9995810451548042
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_wrong_variable_ball_x_dose+600,wrong_variable_ball_x,600.0,600.0000000000001,27.075974728110964,,0.01562707567434137,1.0063623817421639,0.9998782033972307
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_wrong_variable_ball_x_dose-300,wrong_variable_ball_x,-300.0,-300.0,-16.75024508785623,,0.02424343961440871,1.0160563403878053,0.9997076655999402
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_wrong_variable_ball_x_dose-600,wrong_variable_ball_x,-600.0,-506.3026898945899,-31.53151686455101,,0.01417061521318661,1.0046167735917482,0.9999001726334307
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_affine_forward_dose+300,affine_forward,300.0,300.0,156.55163318805114,,0.037284358367813505,1.0171911721495825,0.9993807198802209
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_affine_forward_dose+600,affine_forward,600.0,600.0,314.268796027058,,0.02484488222044207,1.0051339175899392,0.9997065773723692
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_affine_forward_dose-300,affine_forward,-300.0,-300.0,-156.6035826112236,,0.03727969468131987,1.0173368676991432,0.9993787067558171
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_affine_forward_dose-600,affine_forward,-600.0,-514.7063748757123,-270.16400572836767,,0.027072166395507035,1.0068310304895085,0.9996546649447686
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_probe_linear_dose+300,probe_linear,300.0,300.0,297.18365385212655,0.9906121795070885,0.033836739451905566,1.0261433677929608,0.9994619752217317
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_probe_linear_dose+600,probe_linear,600.0,600.0,598.8487524691673,0.9980812541152788,0.018983130461979743,1.00836201354901,0.9998210228800708
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_probe_linear_dose-300,probe_linear,-300.0,-300.0,-297.2945187241555,0.9909817290805184,0.03373379733371493,1.0264923768252365,0.9994624541663896
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_probe_linear_dose-600,probe_linear,-600.0,-514.7063748757123,-513.3177145300641,0.9973020339101424,0.02157033955263742,1.0108669426569254,0.9997698386908145
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_quadratic_forward_dose+300,quadratic_forward,300.0,300.0,154.00172615543556,,0.036291531215166345,1.018391609438216,0.9994109846538938
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_quadratic_forward_dose+600,quadratic_forward,600.0,600.0,291.4523068539613,,0.023715595142440586,1.0049115770100596,0.9997345915178077
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_quadratic_forward_dose-300,quadratic_forward,-300.0,-300.0,-170.95767156857852,,0.0335250968112822,1.0115310790789,0.9995034781756811
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_quadratic_forward_dose-600,quadratic_forward,-600.0,-514.7063748757123,-304.9859033599852,,0.02518283435149648,1.0033227917092042,0.9997011323332704
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_random_norm_dose+300,random_norm,300.0,300.0,2.0577852791004716,,0.0271500263441584,1.0220757506197777,0.9996359504119645
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090702_random_norm_dose+600,random_norm,600.0,600.0,4.2748911653724235,,0.016478648990887433,1.006794999192634,0.9998642585486391
